id_cliente,nome,cpf,telefone,email,data_nascimento,sexo,endereco,numero,bairro,cep,cidade,estado
1,Yan Sampaio,417.628.953-82,0300 587 0036,joao-vitor23@example.org,1977-05-06,Masculino,"Estrada Rodrigues, 65",2,São Geraldo,81926919,São Paulo,São Paulo
2,Gabrielly Azevedo,327.461.895-00,(071) 2756-3612,rnogueira@example.net,1959-05-25,Feminino,"Avenida de Teixeira, 78",55,Vila Barragem Santa Lúcia,09251905,São Paulo,São Paulo
3,Heitor Gonçalves,360.945.178-57,+55 71 4282-1872,joao-pedronovaes@example.net,2000-11-12,Masculino,"Viela de da Cunha, 41",491,Vila Sesc,74887-023,São Paulo,São Paulo
4,Antônio Correia,049.362.578-00,(061) 7734-7493,olivia10@example.net,1958-12-25,Masculino,"Vereda Bernardo Farias, 349",666,Buritis,43364223,São Paulo,São Paulo
5,Gustavo Rios,769.531.028-02,+55 (061) 2791 2085,nogueiramaria-liz@example.com,1967-12-21,Masculino,Trecho de Rezende,7,Vila Copasa,96142396,São Paulo,São Paulo
6,Bryan Cirino,970.312.845-97,31 1906-2893,uabreu@example.com,1999-09-13,Masculino,"Jardim Thiago Pereira, 94",7,Vila De Sá,54835-279,São Paulo,São Paulo
7,Mariah Sales,564.812.093-15,+55 81 4674-2538,silvagael@example.org,1965-12-10,Feminino,"Colônia Sophie Cavalcante, 33",48,Santa Cruz,67979-774,São Paulo,São Paulo
8,Yuri Cavalcante,321.547.698-37,0800 424 5443,usilva@example.net,1960-11-10,Masculino,"Passarela Enrico Castro, 284",59,Jardinópolis,66894651,São Paulo,São Paulo
9,Heitor Barros,927.531.086-68,(071) 0298-1340,goncalvesbella@example.net,1964-05-23,Masculino,"Vila Raquel Peixoto, 9",94,Aeroporto,22699426,São Paulo,São Paulo
10,André Casa Grande,409.856.271-58,+55 31 2519-2992,emanuel91@example.com,1981-08-11,Masculino,"Rua de Sales, 21",58,Olhos D'água,03057244,São Paulo,São Paulo
11,Benício da Luz,738.519.426-55,+55 81 5302 4224,emanuel29@example.net,1998-06-25,Masculino,"Recanto de Alves, 77",467,Caiçara - Adelaide,08099725,São Paulo,São Paulo
12,Marcos Vinicius Nogueira,138.792.405-23,+55 (031) 9374-1168,diogocunha@example.org,2000-11-20,Masculino,"Campo de Rodrigues, 9",655,Boa União 2ª Seção,45330-751,São Paulo,São Paulo
13,Vinicius Pinto,072.159.384-41,+55 (031) 3157 7969,aragaoisis@example.org,1996-03-15,Masculino,"Viaduto Cunha, 63",87,São Jorge 2ª Seção,94622-266,São Paulo,São Paulo
14,Arthur Campos,405.681.273-07,51 2690 4788,daniela16@example.net,1987-12-20,Masculino,Vila de Freitas,3,Xodo-Marize,88115435,São Paulo,São Paulo
15,Maria Luísa Nogueira,283.167.459-09,31 0967 4923,aparecidanoah@example.org,1969-11-09,Feminino,"Chácara de Mendes, 76",112,Teixeira Dias,23854526,São Paulo,São Paulo
16,Evelyn Correia,829.607.345-56,+55 31 6638 0570,enzo-gabriel84@example.org,1993-01-16,Feminino,"Morro Pires, 57",48,Vila Betânia,41579336,São Paulo,São Paulo
17,Eduardo Costela,457.103.892-50,+55 (021) 3645-2200,leocastro@example.com,1999-10-10,Masculino,Residencial Raquel Moraes,70,Juliana,95159742,São Paulo,São Paulo
18,Ravi Lima,809.327.654-83,0800 400 4489,bryanteixeira@example.net,2003-12-08,Masculino,"Campo de Rodrigues, 81",33,Vila Atila De Paiva,95335-982,São Paulo,São Paulo
19,Laís Caldeira,793.685.140-20,+55 84 4670-6732,jda-luz@example.com,1999-12-28,Feminino,"Sítio de Macedo, 19",20,União,31774-680,São Paulo,São Paulo
20,Natália Peixoto,054.918.362-06,(051) 3053 6868,nogueiraleonardo@example.net,1964-11-13,Feminino,"Recanto de Cunha, 817",59,Conjunto Providencia,62530020,São Paulo,São Paulo
21,Mariane Gonçalves,041.258.793-97,41 7350-8605,maria-isis70@example.com,1964-01-26,Feminino,"Fazenda Nogueira, 203",314,Ambrosina,28222251,São Paulo,São Paulo
22,Vitória Jesus,683.192.407-78,0300 902 0029,henry-gabrielmendes@example.com,1963-11-29,Feminino,"Conjunto de Câmara, 9",62,Nova Gameleira,47360356,São Paulo,São Paulo
