ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento;Custo_aquisicao;Custo_reparos;Lucro;Data_entrada_estoque;Dias_estoque;Vendedor;Origem_lead;NPS_cliente;Status_pagamento
1;Olívia Novaes;22;268.173.459-28;Feminino;Viúvo;isabel59@example.net;+55 (084) 2590-4588;Vieira Paulista;GO;Citroen;Basalt;2021;Prata;183644,07;2024-12-11;Financiamento;164733,39;7966,87;10943,809999999994;2024-06-17;177;Luana Santos;Indicação;7;Em Atraso
2;Gustavo Almeida;33;091.476.582-58;Masculino;Divorciado;caua74@example.org;+55 (071) 3563-7634;Araújo;SP;Volskwagen;Up;2016;Prata;91221,45;2024-11-18;À vista;82047,86;3548,8;5624,789999999996;2024-05-25;177;Sara Pinto;Redes Sociais;9;Pago
3;Catarina Carvalho;30;257.309.618-12;Feminino;Casado;nathan19@example.org;31 8409 5091;Cavalcante;DF;Honda;Fit;2023;Vermelho;136977,73;2024-05-31;Financiamento;109726,62;8351,4;18899,710000000014;2024-05-16;15;Luana Santos;Outros;4;Pago
4;Zoe Câmara;32;059.134.268-51;Feminino;Divorciado;milena40@example.com;(031) 9211-4838;Aparecida do Norte;SP;Citroen;C4 Grand Picasso;2015;Cinza;221448,98;2024-07-12;Financiamento;165562,9;0,0;55886,080000000016;2024-06-25;17;Sara Pinto;Busca Direta;5;Em Atraso
5;Hellena Farias;63;063.459.718-39;Feminino;Viúvo;guilherme86@example.com;(061) 2184-3459;Vargas;RR;Volskwagen;Voyage;2023;Prata;45584,03;2024-11-27;Financiamento;40015,59;5860,78;-292,3399999999974;2023-05-01;576;Luna Lima;Redes Sociais;9;Cancelado
6;Esther Campos;55;942.865.310-15;Feminino;Solteiro;maria-liz83@example.net;+55 41 8089 1241;Cavalcanti;PB;Fiat;Pulse;2014;Azul;166890,85;2024-09-04;À vista;144309,62;3747,97;18833,26000000001;2024-04-10;147;Alexia Cavalcanti;Indicação;2;Pago
7;Gustavo da Rocha;26;957.430.281-41;Masculino;Casado;heitor81@example.net;(011) 8545-8968;Barbosa;ES;Fiat;Fiorino;2013;Branco;206500,5;2025-04-05;Leasing;147486,02;5764,74;53249,74000000001;2023-08-24;590;Paulo Castro;Busca Direta;5;Pago
8;Bernardo Sousa;61;751.296.840-01;Masculino;Casado;lopesgabriela@example.net;+55 41 4045-4259;Camargo;BA;Honda;Civic;2013;Vermelho;38462,09;2025-03-09;Financiamento;27886,93;0,0;10575,159999999996;2025-01-25;43;Luana Santos;Outros;4;Cancelado
9;Maria Julia Sales;24;580.396.724-65;Feminino;Divorciado;daniela76@example.org;+55 31 6484-8057;Pastor do Norte;GO;Fiat;Fastback;2014;Verde;160813,48;2024-09-16;Leasing;122621,94;0,0;38191,54000000001;2023-11-07;314;Sara Pinto;Site;3;Em Atraso
10;Hadassa Pires;65;962.314.708-22;Feminino;Solteiro;maria-claranunes@example.net;51 4616 0320;Gonçalves da Mata;GO;Honda;HR-V;2014;Vermelho;216582,83;2024-09-04;Financiamento;193179,23;2317,9;21085,699999999975;2024-03-24;164;Sara Pinto;Redes Sociais;5;Em Atraso
11;Isabelly Nunes;70;590.327.184-79;Feminino;Viúvo;camposemilly@example.net;(081) 6165-0542;Borges de Cirino;MG;Peugeot;Partner;2019;Vermelho;159569,39;2024-06-16;Financiamento;118254,87;7842,6;33471,92000000002;2023-08-31;290;Sara Pinto;Redes Sociais;9;Em Atraso
12;Henry Pacheco;37;081.935.762-68;Masculino;Solteiro;henry-gabrielrios@example.org;+55 81 4167 1638;Moraes Verde;DF;Citroen;Aircross;2023;Verde;221792,58;2024-11-13;Financiamento;186597,75;0,0;35194,82999999999;2024-10-11;33;Ian Pereira;Indicação;3;Pago
13;Liz Pinto;45;872.943.015-14;Feminino;Solteiro;cjesus@example.com;+55 51 4536 9000;Vieira do Campo;ES;Peugeot;3008;2022;Cinza;45162,25;2024-05-01;Financiamento;34989,81;3699,57;6472,870000000003;2024-03-29;33;Davi Lucca Novaes;Outros;6;Cancelado
14;Melina Costa;22;603.451.789-39;Feminino;Divorciado;moraesbruna@example.com;11 1055 8498;da Mota;PA;Citroen;C4 Grand Picasso;2021;Azul;130793,71;2024-09-27;À vista;91947,13;8475,49;30371,090000000004;2024-04-21;159;Dr. Renan Jesus;Site;9;Pago
